Date,Price
5/27/2021,73.4885
5/26/2021,73.5012
5/25/2021,73.5014
5/24/2021,73.47
5/21/2021,73.6222
5/20/2021,73.5218
5/19/2021,73.7722
5/18/2021,73.7118
5/17/2021,73.8023
5/14/2021,74.0079
5/13/2021,74.0554
5/12/2021,74.6465
5/11/2021,74.1117
5/10/2021,74.3512
5/7/2021,73.7955
5/6/2021,74.24
5/5/2021,74.8614
5/4/2021,74.8595
4/30/2021,75.2073
4/29/2021,74.63
4/28/2021,74.4065
4/27/2021,74.9065
4/26/2021,75.0048
4/23/2021,74.9806
4/22/2021,75.4239
4/21/2021,76.6218
4/20/2021,76.8116
4/19/2021,76.3583
4/16/2021,75.8268
4/15/2021,76.3372
4/14/2021,75.8828
4/13/2021,75.9373
4/12/2021,77.3698
4/9/2021,77.3964
4/8/2021,76.8609
4/7/2021,76.9759
4/6/2021,77.2618
4/5/2021,76.3881
4/2/2021,76.516
4/1/2021,76.2673
3/31/2021,75.6987
3/30/2021,75.8495
3/29/2021,75.6648
3/26/2021,75.6633
3/25/2021,76.187
3/24/2021,76.5795
3/23/2021,76.3799
3/22/2021,74.9227
3/19/2021,74.1213
3/18/2021,74.3129
3/17/2021,73.6311
3/16/2021,72.8728
3/15/2021,72.817
3/12/2021,73.3335
3/11/2021,73.3037
3/10/2021,73.6031
3/9/2021,73.9083
3/5/2021,74.2287
3/4/2021,74.703
3/3/2021,73.9755
3/2/2021,73.8165
3/1/2021,74.1739
2/26/2021,74.6196
2/25/2021,74.7301
2/24/2021,73.5305
2/22/2021,74.313
2/20/2021,74.0545
2/19/2021,74.1116
2/18/2021,73.9036
2/17/2021,73.7194
2/16/2021,73.6533
2/15/2021,73.3225
2/12/2021,73.7114
2/11/2021,73.6155
2/10/2021,73.9408
2/9/2021,73.8836
2/8/2021,74.3034
2/5/2021,74.6528
2/4/2021,75.5065
2/3/2021,75.9423
2/2/2021,76.224
2/1/2021,76.1354
1/29/2021,75.7404
1/28/2021,75.9592
1/27/2021,75.8464
1/26/2021,75.0963
1/25/2021,75.346
1/22/2021,75.2899
1/21/2021,73.834
1/20/2021,73.5241
1/19/2021,73.6709
1/18/2021,74.0232
1/15/2021,73.6309
1/14/2021,73.2179
1/13/2021,73.7649
1/12/2021,73.5369
1/11/2021,74.6691
1/8/2021,74.1636
1/6/2021,73.9221
1/5/2021,74.0283
1/4/2021,74.3051
12/30/2020,74.4121
12/29/2020,74.0354
12/28/2020,73.757
12/25/2020,74.1956
12/24/2020,73.8873
12/23/2020,75.0744
12/22/2020,75.8958
12/21/2020,74.8058
12/18/2020,73.3477
12/17/2020,72.862
12/16/2020,73.3497
12/15/2020,73.3824
12/14/2020,73.8683
12/11/2020,72.9572
12/10/2020,73.0484
12/9/2020,73.8723
12/8/2020,73.5166
12/7/2020,73.6484
12/4/2020,74.0634
12/3/2020,74.4431
12/2/2020,75.0718
12/1/2020,75.8453
11/30/2020,76.4033
11/27/2020,75.8605
11/26/2020,75.7072
11/25/2020,75.5406
11/24/2020,75.4715
11/23/2020,76.1755
11/20/2020,76.1924
11/19/2020,76.0553
11/18/2020,76.0511
11/17/2020,76.2305
11/16/2020,76.1698
11/13/2020,77.4023
11/12/2020,77.3496
11/11/2020,77.1139
11/10/2020,76.57
11/9/2020,76.3064
11/6/2020,77.4158
11/5/2020,77.0264
11/3/2020,79.3552
11/2/2020,80.5386
10/30/2020,79.5257
10/29/2020,78.8685
10/28/2020,79.2242
10/27/2020,77.3059
10/26/2020,76.495
10/23/2020,76.1235
10/22/2020,76.6168
10/21/2020,76.7229
10/20/2020,77.3423
10/19/2020,77.65
10/16/2020,77.8938
10/15/2020,78.0885
10/14/2020,77.6328
10/13/2020,77.0491
10/12/2020,77.1449
10/9/2020,76.7675
10/8/2020,77.3714
10/7/2020,78.032
10/6/2020,78.449
10/5/2020,78.1055
10/2/2020,78.1851
10/1/2020,77.3346
9/30/2020,77.6319
9/29/2020,79.0732
9/28/2020,79.0566
9/25/2020,78.2164
9/24/2020,77.1487
9/23/2020,77.0808
9/22/2020,76.0992
9/21/2020,76.1224
9/18/2020,75.744
9/17/2020,75.2033
9/16/2020,74.9778
9/15/2020,75.0223
9/14/2020,75.2574
9/11/2020,75.0956
9/10/2020,75.2048
9/9/2020,75.3163
9/8/2020,76.2826
9/7/2020,75.7585
9/4/2020,75.4087
9/3/2020,75.268
9/2/2020,75.4015
9/1/2020,73.5765
8/31/2020,74.0718
8/28/2020,74.0056
8/27/2020,74.9588
8/26/2020,75.3995
8/25/2020,75.3312
8/24/2020,74.6401
8/21/2020,74.7995
8/20/2020,73.7823
8/19/2020,73.292
8/18/2020,73.1634
8/17/2020,73.7015
8/14/2020,72.8558
8/13/2020,72.9555
8/12/2020,73.7116
8/11/2020,73.1506
8/10/2020,73.4667
8/7/2020,73.717
8/6/2020,73.2782
8/5/2020,72.8745
8/4/2020,73.5325
8/3/2020,73.1149
7/31/2020,74.4114
7/30/2020,73.1543
7/29/2020,72.581
7/28/2020,72.5804
